"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to validate creation of token ","1085","Test Authentication Valid Credentials","tests","Wed Oct 09 10:01:34 IST 2024","passed","Wed Oct 09 10:01:35 IST 2024","","test_auth","",""
"This test attempts to validate creation of token ","1116","Test Authentication Invalid Credentials","tests","Wed Oct 09 10:01:31 IST 2024","failed","Wed Oct 09 10:01:32 IST 2024","","test_auth","",""
"This test attempts to validate creation of token ","1059","Test Authentication Invalid Credentials","tests","Wed Oct 09 10:01:27 IST 2024","failed","Wed Oct 09 10:01:28 IST 2024","","test_auth","",""
"This test attempts to validate creation of token ","1183","Test Authentication Invalid Credentials","tests","Wed Oct 09 10:01:28 IST 2024","failed","Wed Oct 09 10:01:30 IST 2024","","test_auth","",""
"This test attempts to validate creation of token ","1130","Test Authentication Invalid Credentials","tests","Wed Oct 09 10:01:33 IST 2024","failed","Wed Oct 09 10:01:34 IST 2024","","test_auth","",""
"This test attempts to validate creation of token ","1242","Test Authentication Invalid Credentials","tests","Wed Oct 09 10:01:30 IST 2024","failed","Wed Oct 09 10:01:31 IST 2024","","test_auth","",""
"This test attempts to validate creation of token ","1127","Test Authentication Invalid Credentials","tests","Wed Oct 09 10:01:32 IST 2024","failed","Wed Oct 09 10:01:33 IST 2024","","test_auth","",""
"This test attempts to validate creation of token ","1321","Test Authentication Invalid Credentials","tests","Wed Oct 09 10:01:26 IST 2024","failed","Wed Oct 09 10:01:27 IST 2024","","test_auth","",""
